Sno.,layer_name,dataset_name (from DB),column_name,column_name_description,comments
,admin_boundary,Admin Boundary,id,id,
0,admin_boundary,Admin Boundary,ASSET_2001,household assets 2001,
1,admin_boundary,Admin Boundary,TOT_M,total male population,
2,admin_boundary,Admin Boundary,dist_cen,district census code,
3,admin_boundary,Admin Boundary,TOT_F,total female population,
4,admin_boundary,Admin Boundary,ADI_2019,Aggregate Development Index (2019),
5,admin_boundary,Admin Boundary,F_SC,SC female population,
6,admin_boundary,Admin Boundary,P_ILL,total illiterate population,
7,admin_boundary,Admin Boundary,MSW_2011,Percentage of households in a village with different levels of Main Source of Water 2011,
8,admin_boundary,Admin Boundary,TOT_P,total population,
9,admin_boundary,Admin Boundary,ADI_2011,Aggregate Development Index (2011),
10,admin_boundary,Admin Boundary,MSW_2019,Percentage of households in a village with different levels of Main Source of Water 2019,
11,admin_boundary,Admin Boundary,P_ST,total ST population,
12,admin_boundary,Admin Boundary,F_ILL,illiterate female population,
13,admin_boundary,Admin Boundary,vill_name,village name,
14,admin_boundary,Admin Boundary,vill_ID,village ID,
15,admin_boundary,Admin Boundary,BF_2011,Percentage of households in a village with different levels of Bathroom Facility 2011,
16,admin_boundary,Admin Boundary,FC_2001,Percentage of households in a village with different levels of Fuel of Cooking 2001,
17,admin_boundary,Admin Boundary,F_ST,ST female population,
18,admin_boundary,Admin Boundary,P_LIT,total literate population,
19,admin_boundary,Admin Boundary,state,state name,
20,admin_boundary,Admin Boundary,block_cen,subdistrict census code,
21,admin_boundary,Admin Boundary,ADI_2001,Aggregate Development Index (2001),
22,admin_boundary,Admin Boundary,BF_2019,Percentage of households in a village with different levels of Bathroom Facility 2019,
23,admin_boundary,Admin Boundary,No_HH,number of households,
24,admin_boundary,Admin Boundary,ASSET_2011,Percentage of household in a village with different levels of assets 2011,
25,admin_boundary,Admin Boundary,M_SC,SC male population,
26,admin_boundary,Admin Boundary,MSW_2001,Percentage of households in a village with different levels of Main Source of Water 2001,
27,admin_boundary,Admin Boundary,M_LIT,literate male population,
28,admin_boundary,Admin Boundary,tehsil,tehsil name,
29,admin_boundary,Admin Boundary,state_cen,state census code,
30,admin_boundary,Admin Boundary,FC_2019,Percentage of households in a village with different levels of Fuel of Cooking 2019,
31,admin_boundary,Admin Boundary,M_ST,ST male population,
32,admin_boundary,Admin Boundary,district,district name,
33,admin_boundary,Admin Boundary,F_LIT,literate female population,
34,admin_boundary,Admin Boundary,BF_2001,Percentage of households in a village with different levels of Bathroom Facility 2001,
35,admin_boundary,Admin Boundary,P_SC,total SC population,
36,admin_boundary,Admin Boundary,ASSET_2019,household assets 2019,
37,admin_boundary,Admin Boundary,FC_2011,Percentage of households in a village with different levels of Fuel of Cooking 2011,
38,admin_boundary,Admin Boundary,M_ILL,illiterate male population,
39,admin_boundary,Admin Boundary,system:index,,
,admin_boundary,admin_boundary,geometry,geometry,
40,aquifer_vector,Aquifer,weighted_contribution,final contributions of each factor after mutiplying by its y_value,
41,aquifer_vector,Aquifer,aquifer_count,Count of unique aquifers,
42,aquifer_vector,Aquifer,m2_perday,transmissivity (in m2/day),
43,aquifer_vector,Aquifer,%_area_aquifer,area of aquifer in percentage,
44,aquifer_vector,Aquifer,mbgl,Fractures encountered (in m bgl),
45,aquifer_vector,Aquifer,newcode14,principal aquifer alphabet code,
46,aquifer_vector,Aquifer,yeild__,specific yield (in %),
47,aquifer_vector,Aquifer,uid,unique identifier,
48,aquifer_vector,Aquifer,Recommende,recommended groundwater management interventions,
49,aquifer_vector,Aquifer,area_in_ha,area in hectares,
50,aquifer_vector,Aquifer,id,id,
51,aquifer_vector,Aquifer,state,state name ,
52,aquifer_vector,Aquifer,m3_per_day,Yield (in m3/day),
53,aquifer_vector,Aquifer,Age,age of lithology,
54,aquifer_vector,Aquifer,Major_Aq_1,major aquifer 1,
55,aquifer_vector,Aquifer,aquifer_class,aquifer class ,
56,aquifer_vector,Aquifer,area_re,area in km2,
57,aquifer_vector,Aquifer,test,codes identifying aquifer/lithology test units,
58,aquifer_vector,Aquifer,zone_m,thickness of weathered zone (in m),
59,aquifer_vector,Aquifer,avg_mbgl,decadal average depth (in meters below ground level),
60,aquifer_vector,Aquifer,pa_order,principal aquifer numeric code,
61,aquifer_vector,Aquifer,per_cm,Quality (EC in Micromhos/cm),
62,aquifer_vector,Aquifer,Principal_,principal aquifer system name,
63,aquifer_vector,Aquifer,intersection_area_ha,area of intersection under aquifer,
64,aquifer_vector,Aquifer,y_value,base weights assigned to each criteria in aquifer assessment,
65,aquifer_vector,Aquifer,newcode43,major aquifer code,
66,aquifer_vector,Aquifer,Lithology_,lithology type,
67,aquifer_vector,Aquifer,system,,
68,aquifer_vector,Aquifer,Major_Aqui,major aquifer,
69,aquifer_vector,Aquifer,objectid,,
70,aquifer_vector,Aquifer,system:index,,
71,drainage_lines,Drainage,end_node,unique identifier for the downstream point of drainage lines,
72,drainage_lines,Drainage,ORDER,Strahler order of stream within a network,
73,drainage_lines,Drainage,stream_typ,"stream type: what values does this take? 
stream type: start or intermediate",
74,drainage_lines,Drainage,start_node,unique identifier for the upstream point of drainage lines,
75,drainage_lines,Drainage,cat,category for drainage feature ,
76,drainage_lines,Drainage,id,id,
77,drainage_lines,Drainage,system:index,,
78,drainage_lines,Drainage,type_code,"code to classify the type of drainage feature: what values does this take? 
start=0, intermediate=1",
79,drainage_lines,Drainage,network,,
80,swb3,Surface Water Bodies,no_town_cities_benefited,number of town/cities benefited from water body,
81,swb3,Surface Water Bodies,area_21-22,area of surface water (in hectares) in 2021-2022,
82,swb3,Surface Water Bodies,census_id,census id,
83,swb3,Surface Water Bodies,k_19-20,percentage of water availability in kharif season of agriculture year 2019-2020,
84,swb3,Surface Water Bodies,ismissing,indicates if the record has missing data,
85,swb3,Surface Water Bodies,filled_up_storage_space_name,"description if the storage area has been filled up: Usually filled up, Never filled up, Rarely filled up, Filled up every year",
86,swb3,Surface Water Bodies,kr_22-23,percentage of water availability in kharif and rabi season of agriculture year 2022-2023,
87,swb3,Surface Water Bodies,renovation_cost,cost incurred for renovation,
88,swb3,Surface Water Bodies,krz_23-24,"percentage of water availability in kharif, rabi and zaid season of agriculture year 2023-2024",
89,swb3,Surface Water Bodies,extent_of_area_covered_by_wua,area under the coverage of a water user association,
90,swb3,Surface Water Bodies,ref_selection_id_encroachment_assessed_name,,
91,swb3,Surface Water Bodies,si_no_of_water_body_within_village_town,serial number of water body within a village/town,
