,layer_name,column_name,column_name_normalized,column_data_type,column_name_description,comments
0,admin_boundary,ASSET_2001,asset_2001,,household assets 2001,
1,admin_boundary,TOT_M,tot_m,,total male population,
2,admin_boundary,dist_cen,dist_cen,,district census code,
3,admin_boundary,TOT_F,tot_f,,total female population,
4,admin_boundary,ADI_2019,adi_2019,,Aggregate Development Index (2019),
5,admin_boundary,F_SC,f_sc,,SC female population,
6,admin_boundary,P_ILL,p_ill,,total illiterate population,
7,admin_boundary,MSW_2011,msw_2011,,Percentage of households in a village with different levels of Main Source of Water 2011,
8,admin_boundary,TOT_P,tot_p,,total population,
9,admin_boundary,ADI_2011,adi_2011,,Aggregate Development Index (2011),
10,admin_boundary,MSW_2019,msw_2019,,Percentage of households in a village with different levels of Main Source of Water 2019,
11,admin_boundary,P_ST,p_st,,total ST population,
12,admin_boundary,F_ILL,f_ill,,illiterate female population,
13,admin_boundary,vill_name,vill_name,,village name,
14,admin_boundary,vill_ID,vill_id,,village ID,
15,admin_boundary,BF_2011,bf_2011,,Percentage of households in a village with different levels of Bathroom Facility 2011,
16,admin_boundary,FC_2001,fc_2001,,Percentage of households in a village with different levels of Fuel of Cooking 2001,
17,admin_boundary,F_ST,f_st,,ST female population,
18,admin_boundary,P_LIT,p_lit,,total literate population,
19,admin_boundary,state,state,,state name,
20,admin_boundary,block_cen,block_cen,,subdistrict census code,
21,admin_boundary,ADI_2001,adi_2001,,Aggregate Development Index (2001),
22,admin_boundary,BF_2019,bf_2019,,Percentage of households in a village with different levels of Bathroom Facility 2019,
23,admin_boundary,No_HH,no_hh,,number of households,
24,admin_boundary,ASSET_2011,asset_2011,,Percentage of household in a village with different levels of assets 2011,
25,admin_boundary,M_SC,m_sc,,SC male population,
26,admin_boundary,MSW_2001,msw_2001,,Percentage of households in a village with different levels of Main Source of Water 2001,
27,admin_boundary,M_LIT,m_lit,,literate male population,
28,admin_boundary,tehsil,tehsil,,tehsil name,
29,admin_boundary,state_cen,state_cen,,state census code,
30,admin_boundary,FC_2019,fc_2019,,Percentage of households in a village with different levels of Fuel of Cooking 2019,
31,admin_boundary,M_ST,m_st,,ST male population,
32,admin_boundary,district,district,,district name,
33,admin_boundary,F_LIT,f_lit,,literate female population,
34,admin_boundary,BF_2001,bf_2001,,Percentage of households in a village with different levels of Bathroom Facility 2001,
35,admin_boundary,P_SC,p_sc,,total SC population,
36,admin_boundary,ASSET_2019,asset_2019,,household assets 2019,
37,admin_boundary,FC_2011,fc_2011,,Percentage of households in a village with different levels of Fuel of Cooking 2011,
38,admin_boundary,M_ILL,m_ill,,illiterate male population,
39,admin_boundary,system:index,system:index,,,
40,aquifer_vector,weighted_contribution,weighted_contribution,,final contributions of each factor after mutiplying by its y_value,
41,aquifer_vector,aquifer_count,aquifer_count,,Count of unique aquifers,
42,aquifer_vector,m2_perday,m2_perday,,transmissivity (in m2/day),
43,aquifer_vector,%_area_aquifer,%_area_aquifer,,area of aquifer in percentage,
44,aquifer_vector,mbgl,mbgl,,Fractures encountered (in m bgl),
45,aquifer_vector,newcode14,newcode14,,principal aquifer alphabet code,
46,aquifer_vector,yeild__,yield,,specific yield (in %),
47,aquifer_vector,uid,uid,,unique identifier,
48,aquifer_vector,Recommende,recommende,,recommended groundwater management interventions,
49,aquifer_vector,area_in_ha,area_in_ha,,area in hectares,
50,aquifer_vector,id,id,,id,
51,aquifer_vector,state,state,,state name ,
52,aquifer_vector,m3_per_day,m3_per_day,,Yield (in m3/day),
53,aquifer_vector,Age,age,,age of lithology,
54,aquifer_vector,Major_Aq_1,major_aq_1,,major aquifer 1,
55,aquifer_vector,aquifer_class,aquifer_class,,aquifer class ,
56,aquifer_vector,area_re,area_re,,area in km2,
57,aquifer_vector,test,test,,codes identifying aquifer/lithology test units,
58,aquifer_vector,zone_m,zone_m,,thickness of weathered zone (in m),
59,aquifer_vector,avg_mbgl,avg_mbgl,,decadal average depth (in meters below ground level),
60,aquifer_vector,pa_order,pa_order,,principal aquifer numeric code,
61,aquifer_vector,per_cm,per_cm,,Quality (EC in Micromhos/cm),
62,aquifer_vector,Principal_,principal_aquifer_name,,principal aquifer system name,
63,aquifer_vector,intersection_area_ha,intersection_area_ha,,area of intersection under aquifer,
64,aquifer_vector,y_value,y_value,,base weights assigned to each criteria in aquifer assessment,
65,aquifer_vector,newcode43,newcode43,,major aquifer code,
66,aquifer_vector,Lithology_,lithology_,,lithology type,
67,aquifer_vector,system,system,,,
68,aquifer_vector,Major_Aqui,major_aqui,,major aquifer,
69,aquifer_vector,objectid,objectid,,,
70,aquifer_vector,system:index,system:index,,,
71,drainage_lines,end_node,end_node,,unique identifier for the downstream point of drainage lines,
72,drainage_lines,ORDER,order,,Strahler order of stream within a network,
