display name,layer_type,layer_name,ee_layer_name,db_dataset_name,geoserver_workspace_name,geoserver_layer_name,geoserver_url,style_file_url
Admin Boundaries,vector,admin_boundaries_vector,admin_boundary,Admin Boundary,panchayat_boundaries,[district]_[block],https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Demographic/Administrative-Boundary-Style.qml
Aquifer,vector,aquifer_vector_vector,aquifer_vector,Aquifer,aquifer,aquifer_vector_[district]_[block],https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Aquifer_style.qml
Drainage Lines,vector,drainage_lines_vector,drainage_lines,Drainage,drainage,[district]_[block],https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Drainage-Layer-Style.qml
Surface Water Bodies,vector,swb_vector,swb,Surface Water Bodies,swb,surface_waterbodies_[district]_[block],https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Surface-Waterbody-style.qml
Land Use Change : Tree cover gain,raster,change_tree_cover_gain_raster,change_Afforestation,Change Detection Raster,change_detection,change_[district]_[block]_Afforestation,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/tree_cover_gain.qml
Land Use Change : Tree cover loss,raster,change_tree_cover_loss_raster,change_Deforestation,Change Detection Raster,change_detection,change_[district]_[block]_Deforestation,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/tree_cover_loss.qml
Land Use change : Cropping reduction,raster,change_cropping_reduction_raster,change_Degradation,Change Detection Raster,change_detection,change_[district]_[block]_Degradation,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/cropping_reduction.qml
Land use change : Urbanization,raster,change_urbanization_raster,change_Urbanization,Change Detection Raster,change_detection,change_[district]_[block]_Urbanization,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/Urbanization_climate_change.qml
NREGA Works,vector,nrega_vector,nrega_assets,NREGA Assets,nrega_assets,[district]_[block],https://geoserver.core-stack.org:8443/geoserver/[workspace]/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=[workspace]%3A[layer_name]&outputFormat=application%2Fjson,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/NREGA/NREG-Assets-Classified-Style.qml
Land Use Land Cover,raster,land_use_land_cover_raster,lulc_raster,LULC_level_3,LULC_level_3,LULC_23_24_[block]_level_3,https://geoserver.core-stack.org:8443/geoserver/[workspace]/wcs?service=WCS&version=2.0.1&request=GetCoverage&CoverageId=[workspace]:[layer_name]&format=geotiff,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/LULC0_12class.qml
