,index,0
0,id,object
1,MWS_UID,object
2,UID,object
3,any,int32
4,area_17-18,float64
5,area_18-19,float64
6,area_19-20,float64
7,area_20-21,float64
8,area_21-22,float64
9,area_22-23,float64
10,area_23-24,float64
11,area_ored,float64
12,category_sq_m,object
13,k_17-18,float64
14,k_18-19,float64
15,k_19-20,float64
16,k_20-21,float64
17,k_21-22,float64
18,k_22-23,float64
19,k_23-24,float64
20,kr_17-18,float64
21,kr_18-19,float64
22,kr_19-20,float64
23,kr_20-21,float64
24,kr_21-22,float64
25,kr_22-23,float64
26,kr_23-24,float64
27,krz_17-18,float64
28,krz_18-19,float64
29,krz_19-20,float64
30,krz_20-21,float64
31,krz_21-22,float64
32,krz_22-23,float64
33,krz_23-24,float64
34,water,int32
35,geometry,geometry
